id	title	datetime	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20	t21	t22	t23	t24	t25	t26	t27	t28	t29	t30	t31	t32	t33	t34	t35	t36	t37	t38	t39	t40	t41	t42	t43	t44	t45	t46	t47	t48	t49
292	Tesla's VIN Numbers Are Something To Keep An Eye On	11/15/2013 8:00	0	0	0	0	0	0	0.026666667	0	0	0	0.44	0.133333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053333333	0	0	0	0.173333333	0	0	0	0	0	0	0	0	0	0	0	0.173333333	0	0
293	Tesla And Twitter Are In The Same Business Of Managing Expectations	11/15/2013 6:28	0	0	0	0	0	0	0	0.019230769	0	0	0	0	0	0	0.019230769	0.115384615	0	0	0	0	0	0	0	0	0	0	0	0.057692308	0	0	0	0	0	0	0	0.038461538	0	0	0	0	0	0	0	0.076923077	0	0	0	0.634615385	0.038461538	0
294	Why Tesla?s Q3 Profit Margin Isn't What It Seems	11/15/2013 5:40	0	0.5	0	0	0	0	0	0.083333333	0	0	0.305555556	0	0	0.055555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027777778	0	0	0	0	0	0
295	"Forget Tesla, these automakers are on fire"	11/15/2013 3:38	0	0	0	0	0	0.048780488	0	0	0	0	0	0.097560976	0	0	0	0	0	0.024390244	0	0	0	0	0	0	0	0	0	0	0.268292683	0	0	0	0	0	0	0.268292683	0	0.048780488	0	0	0	0	0.024390244	0	0	0	0	0.219512195	0	0
296	Official: Tesla factory had previous violation	11/14/2013 15:35	0	0	0	0	0	0.225806452	0	0	0	0	0	0.64516129	0	0	0	0.032258065	0	0.064516129	0.032258065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
297	Official: Tesla factory had previous violation	11/14/2013 15:35	0	0	0	0.086206897	0	0.224137931	0	0.034482759	0	0	0	0.206896552	0	0	0.017241379	0	0	0.293103448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103448276	0	0	0	0	0	0	0	0	0.034482759	0	0	0
298	Are There Cockroaches Under Tesla's Hood?	11/14/2013 15:00	0	0.169014085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028169014	0	0	0	0	0	0	0	0	0.028169014	0.014084507	0	0	0	0.098591549	0	0.070422535	0	0.028169014	0	0	0	0	0	0	0	0	0	0.38028169	0.183098592	0
299	Hot Metal Spill at Tesla Plant Injures 3	11/14/2013 14:06	0	0	0	0	0	0	0	0.3	0	0	0	0.2	0	0	0	0	0	0.075	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0.225	0	0	0	0	0.075	0	0
300	Tesla Announces Strong Results But Fails To Cheer Investors	11/14/2013 13:40	0	0.304347826	0	0	0	0	0	0.369565217	0	0	0.195652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02173913	0	0	0.02173913	0	0	0	0	0	0.086956522	0	0
301	[video] We're Concerned About Tesla's Valuation: S&P's Levy	11/14/2013 13:29	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0.083333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.083333333	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0
302	"Tesla skids; Cisco, Kohl?s slump on weak outlooks"	11/14/2013 12:45	0	0.173076923	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115384615	0	0	0	0.153846154	0	0.096153846	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019230769	0.076923077	0	0	0	0	0	0	0	0	0	0.076923077	0.288461538	0	0
303	"3 Auto Stocks Seeing Action: Toyota Fights for Hydrogen, Another Bump for Tesla, GM?s CEO May Step Down"	11/14/2013 12:32	0	0	0	0	0	0	0	0.105263158	0	0	0	0	0	0.421052632	0.026315789	0	0	0	0	0	0	0	0	0.026315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026315789	0	0	0	0	0.184210526	0	0	0	0.078947368	0.131578947	0	0
304	Have Tesla's Sales Hit The Skids? Probably Not	11/14/2013 12:10	0	0	0	0	0	0	0	0	0	0	0.162162162	0	0	0	0	0	0	0	0	0.108108108	0.027027027	0	0.162162162	0	0	0	0	0	0	0	0	0	0	0	0	0.378378378	0	0	0	0	0	0	0	0.135135135	0	0	0	0	0	0.027027027
305	Electric personality: Tesla CEO Elon Musk	11/14/2013 10:58	0	0.127272727	0	0	0	0	0	0.072727273	0	0	0	0	0	0	0	0.145454545	0	0	0	0	0	0	0	0.018181818	0	0	0	0	0.327272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0.145454545	0	0.072727273	0.054545455	0	0.036363636	0	0
